wind_speed,turbulence,route_risk,failure
46,0.84,1.62,0
47,0.75,1.43,0
63,1.92,5.02,1
21,1.05,1.0,0
46,0.81,1.66,0
70,0.73,2.14,0
20,1.99,1.58,0
57,0.8,1.88,0
40,1.85,2.65,0
24,0.58,0.5,0
45,1.67,3.27,0
59,1.4,3.56,1
77,1.6,4.61,1
62,1.64,4.09,1
44,1.75,2.85,0
36,1.91,3.19,0
36,1.83,2.79,0
23,1.71,1.75,0
76,1.35,4.6,1
79,0.54,1.57,0
66,1.09,2.82,0
67,1.46,3.41,0
44,1.11,1.99,0
31,1.64,2.18,0
43,0.63,1.04,0
69,0.67,1.9,0
26,1.77,1.69,0
20,1.21,1.01,0
43,1.39,2.27,0
26,1.49,1.64,0
78,0.79,2.46,0
66,0.62,1.73,0
24,1.22,1.2,0
31,1.23,1.41,0
68,1.54,4.36,1
38,0.6,0.97,0
40,0.73,1.23,0
32,1.04,1.34,0
71,1.23,3.4,0
22,1.57,1.5,0
52,1.41,2.98,0
75,1.56,4.88,1
39,1.75,2.63,0
28,1.87,2.09,0
68,0.71,1.88,0
30,1.63,1.76,0
80,1.56,5.13,1
71,1.58,4.66,1
76,1.12,3.74,1
75,1.37,4.39,1
45,1.02,1.83,0
24,0.82,0.81,0
63,1.41,3.33,0
38,1.01,1.65,0
59,1.95,4.75,1
30,0.74,0.9,0
28,1.55,1.73,0
29,0.91,1.02,0
49,1.51,3.25,0
34,1.95,2.5,0
53,1.63,2.95,0
60,1.36,3.05,0
24,0.93,1.01,0
72,0.63,1.74,0
45,1.97,3.49,0
56,1.48,2.97,0
45,1.66,3.35,0
65,1.91,4.9,1
62,1.73,4.09,1
34,1.11,1.58,0
46,0.62,1.23,0
48,1.98,3.57,1
56,0.79,1.6,0
28,0.71,0.77,0
58,0.75,1.73,0
71,1.79,5.65,1
75,0.73,1.94,0
32,1.99,2.96,0
27,1.0,1.12,0
20,0.52,0.38,0
36,2.0,3.23,0
32,1.27,1.8,0
26,1.4,1.56,0
37,0.73,1.14,0
46,1.1,2.01,0
74,2.0,6.34,1
60,1.84,4.12,1
42,1.02,1.97,0
79,1.98,6.31,1
55,0.78,1.88,0
71,1.25,3.08,0
71,1.78,5.37,1
64,1.24,3.57,1
50,1.65,3.3,0
77,1.55,4.59,1
63,1.67,4.22,1
30,1.35,1.45,0
45,1.85,3.57,1
51,1.66,3.57,1
32,1.26,1.76,0
42,0.57,0.97,0
22,1.43,1.19,0
73,0.96,2.91,0
71,0.91,2.35,0
66,0.64,1.92,0
69,1.08,3.44,0
76,1.74,5.22,1
58,1.92,4.18,1
49,0.68,1.41,0
62,1.74,4.81,1
80,1.56,4.85,1
31,1.35,1.62,0
43,1.26,1.88,0
74,0.85,2.42,0
63,1.55,3.52,1
30,1.81,2.18,0
68,0.57,1.37,0
49,1.91,4.07,1
60,1.69,3.73,1
63,1.78,4.4,1
54,1.97,3.88,1
64,0.65,1.7,0
36,1.58,2.05,0
45,0.78,1.38,0
53,1.29,2.83,0
48,1.25,2.41,0
75,1.48,5.0,1
67,1.3,3.6,1
78,0.91,2.86,0
46,1.28,2.36,0
33,1.45,1.94,0
25,1.28,1.31,0
30,1.66,1.96,0
57,1.06,2.55,0
79,1.37,4.49,1
69,0.54,1.48,0
38,0.78,1.33,0
56,1.22,2.62,0
22,1.05,0.99,0
48,1.88,3.23,0
47,0.61,1.1,0
49,0.98,1.8,0
74,0.63,1.78,0
71,1.41,3.98,1
47,1.01,1.69,0
55,1.59,3.56,1
38,1.33,2.05,0
42,1.46,2.74,0
63,0.83,1.95,0
80,1.01,3.07,0
80,1.7,5.74,1
76,1.64,4.81,1
48,1.64,3.41,0
26,1.19,1.07,0
55,1.26,2.62,0
55,1.39,3.26,0
77,1.48,5.22,1
78,1.69,4.93,1
56,1.07,2.63,0
80,1.95,6.13,1
76,0.71,2.02,0
38,0.91,1.34,0
69,1.34,3.67,1
27,0.89,1.04,0
25,1.51,1.72,0
43,1.83,3.42,0
79,1.54,5.31,1
35,1.62,2.2,0
36,0.88,1.44,0
22,1.11,1.03,0
51,1.31,2.73,0
78,1.62,5.32,1
57,1.23,3.16,0
61,0.78,1.95,0
23,1.26,1.2,0
25,1.6,1.48,0
21,1.76,1.62,0
56,1.66,4.24,1
43,0.64,1.1,0
74,0.92,2.74,0
79,1.31,3.99,1
78,1.5,4.82,1
20,0.92,0.81,0
25,1.53,1.39,0
44,0.8,1.22,0
80,0.58,1.89,0
75,0.7,2.24,0
66,1.56,4.37,1
21,0.57,0.51,0
23,1.21,1.17,0
52,0.81,1.62,0
24,0.77,0.77,0
49,1.72,3.14,0
51,1.94,3.81,1
75,1.17,3.74,1
77,1.56,5.51,1
74,1.53,4.83,1
28,1.81,2.28,0
22,0.8,0.74,0
56,1.86,4.7,1
74,1.18,3.09,0
41,0.88,1.35,0
30,1.8,2.17,0
56,1.88,3.67,1
28,1.41,1.5,0
49,1.57,2.9,0
23,0.75,0.77,0
63,1.79,4.57,1
24,1.54,1.33,0
53,1.47,3.09,0
60,1.68,3.43,0
73,1.55,4.53,1
59,1.36,3.14,0
28,1.78,2.25,0
27,1.22,1.14,0
66,1.9,4.45,1
75,1.01,3.08,0
28,0.52,0.69,0
41,1.16,2.04,0
67,0.55,1.67,0
30,1.96,2.41,0
37,1.86,2.78,0
20,1.03,0.82,0
57,0.52,1.29,0
20,0.55,0.41,0
65,1.53,4.02,1
23,1.53,1.59,0
55,0.96,2.12,0
31,0.81,1.09,0
64,0.96,2.57,0
78,1.77,5.96,1
28,1.56,1.72,0
62,1.01,2.46,0
77,1.3,4.44,1
37,1.41,1.88,0
43,1.5,2.76,0
39,1.53,2.7,0
32,1.86,2.62,0
51,1.88,3.63,1
34,1.6,2.41,0
41,1.68,2.81,0
74,0.75,1.99,0
63,1.66,3.84,1
20,1.71,1.51,0
41,1.54,2.43,0
79,1.47,4.49,1
51,1.19,2.33,0
21,1.09,0.91,0
65,1.3,3.39,0
24,1.65,1.57,0
30,0.85,1.07,0
37,1.21,1.81,0
61,1.92,3.96,1
49,1.08,2.01,0
44,0.75,1.46,0
21,1.12,0.86,0
69,0.63,1.66,0
54,0.68,1.54,0
76,1.36,3.82,1
22,1.09,1.03,0
72,1.37,3.73,1
57,1.85,4.02,1
48,0.86,1.64,0
25,1.26,1.19,0
74,1.87,5.03,1
45,0.87,1.64,0
40,1.17,1.96,0
58,1.96,4.64,1
45,0.63,1.02,0
47,1.96,3.57,1
45,0.6,1.03,0
80,1.99,6.19,1
36,0.96,1.4,0
30,1.79,2.22,0
73,1.7,5.39,1
54,1.56,3.26,0
50,0.71,1.44,0
22,1.75,1.52,0
51,1.16,2.13,0
32,1.56,2.23,0
68,1.91,5.29,1
28,0.51,0.55,0
48,1.12,2.24,0
77,1.64,5.46,1
20,0.9,0.63,0
36,0.94,1.54,0
27,1.19,1.26,0
26,1.56,1.63,0
56,1.38,2.98,0
63,1.53,3.8,1
22,1.91,1.81,0
59,1.0,2.01,0
42,1.56,2.56,0
22,1.92,1.78,0
24,1.36,1.45,0
80,1.81,5.55,1
33,1.58,2.49,0
31,1.21,1.62,0
24,0.85,0.85,0
70,1.71,4.24,1
30,1.44,1.99,0
41,1.51,2.72,0
68,1.95,5.17,1
51,0.7,1.34,0
35,0.7,0.95,0
30,1.59,1.97,0
36,0.84,1.19,0
63,1.87,4.65,1
48,1.87,3.6,1
45,0.54,0.96,0
66,1.68,3.97,1
72,1.76,5.17,1
52,0.63,1.22,0
51,1.42,3.06,0
37,1.94,2.91,0
45,1.63,3.1,0
49,1.39,2.83,0
58,1.82,4.27,1
36,0.63,0.98,0
51,0.84,1.73,0
38,0.65,1.01,0
26,0.97,1.07,0
80,1.89,5.86,1
28,0.67,0.83,0
54,1.23,2.51,0
22,1.75,1.64,0
56,0.73,1.48,0
30,1.13,1.52,0
52,1.62,3.79,1
33,0.92,1.24,0
33,1.31,1.6,0
54,0.65,1.35,0
31,1.89,2.36,0
42,1.83,3.37,0
67,0.83,2.44,0
20,1.47,1.2,0
79,1.16,3.52,1
21,0.9,0.84,0
72,0.92,2.66,0
56,1.07,2.63,0
58,0.87,1.95,0
26,1.11,0.99,0
54,1.3,3.12,0
20,1.38,1.24,0
21,1.58,1.3,0
30,1.15,1.59,0
66,1.15,2.95,0
40,1.61,2.66,0
40,1.86,2.92,0
43,0.99,1.8,0
50,1.51,3.16,0
21,0.93,0.72,0
38,1.53,2.51,0
25,0.75,0.78,0
42,1.08,1.96,0
42,1.37,2.36,0
24,1.46,1.28,0
26,1.89,1.98,0
49,0.9,1.94,0
78,1.84,5.91,1
79,2.0,5.73,1
50,1.92,4.29,1
62,1.21,2.62,0
54,0.55,1.28,0
22,1.02,0.96,0
77,1.48,4.3,1
74,0.84,2.73,0
41,1.58,2.64,0
55,1.53,3.18,0
58,0.96,2.23,0
54,0.6,1.27,0
70,0.69,1.84,0
64,1.53,3.89,1
41,1.09,1.67,0
49,1.73,3.06,0
39,0.68,1.09,0
24,1.15,1.15,0
72,1.17,3.48,0
26,0.74,0.71,0
21,0.78,0.66,0
31,0.51,0.68,0
20,1.7,1.27,0
21,1.69,1.4,0
24,1.07,1.03,0
41,1.73,2.83,0
59,1.97,3.93,1
58,1.8,4.46,1
45,0.73,1.45,0
53,0.93,2.23,0
65,0.79,2.26,0
76,1.55,4.42,1
45,0.98,2.04,0
45,1.26,2.2,0
62,1.4,3.35,0
61,1.33,2.89,0
29,1.54,1.78,0
36,1.07,1.53,0
57,0.62,1.5,0
32,1.14,1.55,0
48,1.4,2.44,0
61,1.59,3.92,1
45,1.34,2.22,0
24,1.81,1.84,0
79,0.89,3.03,0
80,0.68,1.97,0
38,0.55,0.77,0
22,1.65,1.43,0
37,1.64,2.2,0
72,1.59,4.83,1
66,0.6,1.7,0
22,0.54,0.51,0
66,1.06,3.08,0
47,1.61,2.61,0
78,1.95,6.15,1
54,0.77,1.61,0
66,1.23,3.66,1
80,0.95,3.4,0
58,0.75,1.53,0
67,1.34,3.3,0
40,0.69,1.09,0
78,1.09,3.35,0
69,1.49,3.9,1
56,1.63,3.61,1
22,1.67,1.4,0
72,1.64,4.02,1
25,1.11,1.12,0
32,1.5,2.18,0
39,1.16,1.83,0
47,0.99,1.87,0
77,1.74,5.3,1
55,0.95,2.33,0
21,1.51,1.28,0
42,1.48,2.63,0
21,1.88,1.55,0
57,1.13,2.65,0
23,1.71,1.52,0
39,1.64,2.41,0
35,1.13,1.75,0
34,1.08,1.32,0
36,1.41,1.89,0
44,1.43,2.65,0
38,1.51,2.18,0
59,1.08,2.36,0
20,1.75,1.3,0
42,1.53,2.52,0
47,0.74,1.47,0
45,1.19,2.25,0
60,1.8,4.45,1
43,1.17,1.84,0
24,1.61,1.67,0
46,0.58,1.16,0
64,0.8,1.76,0
78,1.48,4.32,1
24,1.47,1.47,0
58,0.68,1.44,0
54,0.68,1.72,0
61,1.56,3.29,0
63,1.09,2.7,0
46,0.69,1.37,0
57,1.24,2.96,0
79,0.88,2.54,0
37,1.72,2.95,0
26,1.18,1.14,0
39,1.21,1.67,0
48,0.85,1.67,0
56,1.45,3.08,0
62,1.6,3.46,0
48,1.46,2.79,0
26,1.24,1.32,0
64,0.82,2.07,0
63,1.54,3.54,1
43,1.06,1.78,0
20,0.56,0.43,0
63,1.7,4.42,1
33,1.88,2.55,0
78,1.29,3.95,1
80,0.69,2.42,0
30,1.63,1.77,0
45,0.69,1.2,0
26,1.97,2.01,0
70,1.88,5.78,1
75,0.65,2.06,0
27,1.68,1.9,0
75,0.78,2.34,0
36,0.64,0.92,0
26,1.94,2.26,0
78,1.4,4.48,1
67,1.56,4.08,1
24,1.03,0.93,0
70,1.92,5.76,1
59,1.47,3.3,0
33,1.37,1.77,0
60,1.1,2.59,0
37,0.64,0.9,0
22,1.07,0.94,0
71,1.86,5.13,1
20,1.96,1.62,0
44,1.52,2.51,0
54,1.81,4.07,1
68,0.86,2.19,0
80,1.18,3.74,1
64,1.01,2.66,0
60,1.52,3.84,1
74,1.37,4.2,1
54,1.59,3.22,0
52,0.63,1.34,0
39,1.73,2.4,0
44,1.64,2.92,0
22,0.81,0.71,0
54,1.41,2.95,0
57,1.85,4.42,1
58,1.34,2.96,0
74,1.52,4.54,1
35,1.74,2.75,0
57,1.75,4.16,1
71,1.9,5.46,1
48,1.36,2.56,0
47,1.2,2.32,0
20,0.81,0.58,0
57,1.42,3.0,0
37,0.68,1.02,0
62,1.81,4.71,1
49,0.58,1.21,0
43,1.9,2.88,0
23,0.68,0.6,0
23,1.96,1.52,0
61,0.97,2.27,0
67,1.8,4.67,1
41,1.6,2.52,0
38,0.85,1.16,0
72,0.51,1.46,0
40,1.11,1.6,0
34,1.37,1.68,0
20,1.33,1.0,0
29,1.07,1.12,0
54,1.27,2.77,0
51,0.71,1.39,0
57,1.72,3.83,1
47,1.08,1.87,0
64,0.81,2.12,0
42,0.53,0.84,0
73,0.65,1.84,0
73,1.25,3.96,1
21,1.56,1.33,0
59,0.92,2.27,0
55,1.49,3.38,0
59,1.13,2.19,0
30,0.57,0.68,0
61,1.61,3.32,0
24,0.61,0.51,0
29,1.11,1.26,0
26,1.14,1.14,0
23,1.11,0.94,0
47,1.98,3.87,1
34,1.73,2.17,0
48,1.93,3.21,0
35,1.92,2.48,0
39,1.77,2.66,0
31,1.8,2.09,0
28,0.61,0.65,0
49,0.57,1.11,0
70,0.78,2.33,0
75,1.69,5.2,1
23,1.85,1.58,0
36,1.5,2.27,0
56,1.02,1.93,0
49,1.9,3.8,1
67,0.93,2.61,0
66,0.71,1.9,0
61,1.75,4.4,1
37,0.53,0.81,0
24,1.68,1.58,0
61,1.99,4.82,1
74,1.76,5.47,1
21,1.61,1.35,0
54,1.5,3.26,0
41,0.99,1.68,0
65,0.83,1.94,0
69,1.84,5.1,1
37,1.1,1.65,0
66,1.51,3.9,1
25,0.71,0.75,0
78,0.54,1.66,0
24,1.28,1.3,0
56,1.22,2.78,0
36,0.92,1.37,0
20,1.32,1.09,0
51,1.48,3.19,0
32,1.72,1.93,0
49,1.45,3.01,0
64,1.82,4.88,1
47,1.03,1.69,0
40,1.05,1.58,0
25,0.94,1.0,0
42,1.81,3.07,0
30,1.19,1.42,0
75,1.7,5.01,1
46,1.34,2.59,0
77,1.51,5.4,1
72,0.63,1.85,0
53,0.63,1.46,0
50,1.86,3.32,0
50,1.81,3.16,0
41,0.69,1.09,0
58,1.56,3.42,0
41,0.89,1.52,0
80,1.26,3.89,1
68,0.7,1.64,0
41,0.83,1.43,0
34,1.18,1.58,0
28,0.55,0.64,0
49,0.77,1.65,0
73,1.9,6.25,1
48,1.95,3.18,0
27,0.96,1.04,0
40,0.51,0.68,0
71,1.85,5.07,1
21,1.79,1.56,0
49,1.31,2.66,0
25,1.11,1.08,0
29,1.26,1.44,0
60,1.69,4.3,1
72,1.29,3.25,0
48,1.27,2.47,0
38,1.65,2.67,0
43,1.55,2.58,0
70,1.57,4.57,1
35,1.07,1.33,0
53,1.45,2.74,0
33,1.92,2.51,0
69,0.89,2.34,0
26,1.64,1.74,0
79,1.97,6.41,1
71,1.36,4.07,1
29,0.93,1.05,0
31,0.66,0.73,0
73,0.79,1.99,0
50,1.36,2.5,0
27,1.4,1.73,0
21,1.81,1.7,0
75,1.89,5.87,1
36,1.13,1.66,0
52,0.6,1.15,0
35,1.4,2.16,0
63,1.74,4.33,1
78,1.53,4.45,1
79,1.91,6.22,1
71,1.53,4.14,1
50,1.37,2.74,0
33,0.67,0.98,0
21,1.43,1.21,0
71,1.67,4.44,1
37,0.93,1.32,0
26,0.53,0.62,0
22,1.76,1.42,0
41,0.76,1.33,0
76,1.98,6.83,1
21,0.95,0.76,0
72,0.98,2.9,0
55,0.61,1.4,0
56,0.9,2.09,0
53,1.86,3.72,1
63,0.77,1.83,0
74,1.86,5.12,1
62,1.21,3.28,0
21,0.75,0.61,0
28,0.93,1.01,0
53,1.78,3.33,0
77,1.18,3.46,0
34,0.78,1.13,0
36,1.62,2.28,0
44,1.55,2.86,0
54,1.54,3.3,0
35,1.54,2.15,0
